panelist_id,idx,example
aisha,0,Didn't watch. Anatomy paper Tuesday.
aisha,1,Caught the headlines on Radio 4 in passing.
aisha,2,No time. Maybe in the holidays.
jaden,0,"Nah, too slow. Saw the meme tho."
jaden,1,"Skipped it, fam. Watched football clips instead."
jaden,2,"TikTok had a 30-sec edit, that's enough."
nikhil,0,I caught most of it on iPlayer; the writing rewards patience.
nikhil,1,It's nuanced — the politics never collapses into a slogan.
nikhil,2,"Strong craft, the odd caricature, but it earns its slow burn."
sophie,0,Started it but the baby woke up — couldn't tell you who was who.
sophie,1,"Too heavy for last thing at night, honestly."
sophie,2,It was on while I was feeding her; I half-watched.
marcus,0,Quietly furious. James Graham keeps writing the country I'm trying to teach.
marcus,1,It earns every minute. The Miners' Strike is still the unhealed nerve here.
marcus,2,"The ensemble work holds the politics. No protagonist, no easy out."
priya,0,I switched off after 25 minutes; it was too dark for bedtime.
priya,1,"Strong craft, but the tone was wrong for the slot."
priya,2,The performances earn the violence; I just don't want it before sleep.
geoffrey,0,It is constitutionally serious work; the writers know what they have.
geoffrey,1,An exemplary handling of post-industrial loss without sentimentality.
geoffrey,2,"A demanding hour of television, but rewarding for those willing."
rita,0,"Couldn't keep track of the names — too many storylines, love."
rita,1,I'd had enough by half nine; put the old film on instead.
rita,2,"Bit miserable for a Sunday, isn't it? Where's the warmth?"
daniel,0,Didn't watch. I'll see what people I trust say first.
daniel,1,"Broadcast is a UI from 1995. Catch-up only, if at all."
daniel,2,"If it's preachy, I'm out. Tell me when it earns the runtime."
margaret,0,Too many character names introduced too quickly; I lost the thread.
margaret,1,I always watch what's on after the news; the BBC has my trust.
margaret,2,"A handsome production, but I struggled to keep up at first."
